City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,2022-05-16 00:04:34,-46.1927,168.8643,49.48,66,9,2.66
1,Puerto Ayora,EC,2022-05-16 00:00:20,-0.7393,-90.3518,73.54,94,87,1.99
2,Barrow,US,2022-05-16 00:01:12,71.2906,-156.7887,33.82,80,75,9.22
3,Upernavik,GL,2022-05-16 00:04:35,72.7868,-56.1549,11.21,88,15,6.78
4,Kargasok,RU,2022-05-16 00:04:36,59.0556,80.8572,52.52,76,14,7.92
5,Rikitea,PF,2022-05-16 00:04:36,-23.1203,-134.9692,76.73,68,39,18.21
6,Maumere,ID,2022-05-16 00:04:37,-8.6199,122.2111,82.58,72,5,3.29
7,Lebu,CL,2022-05-16 00:02:06,-37.6167,-73.65,53.67,67,100,1.99
8,Maniitsoq,GL,2022-05-16 00:04:38,65.4167,-52.9,32.7,65,2,9.8
9,Bethel,US,2022-05-16 00:04:38,41.3712,-73.414,70.88,68,63,4.74
10,Fairbanks,US,2022-05-16 00:02:47,64.8378,-147.7164,51.3,46,100,1.99
11,Natal,BR,2022-05-16 00:04:39,-5.795,-35.2094,77.0,89,44,7.02
12,Temple,US,2022-05-16 00:04:40,31.0982,-97.3428,92.64,46,0,16.11
13,Abu Dhabi,AE,2022-05-16 00:01:10,24.4667,54.3667,81.97,71,0,1.01
14,San Quintin,MX,2022-05-16 00:04:40,30.4833,-115.95,68.85,64,3,13.04
15,Bluff,NZ,2022-05-16 00:04:41,-46.6,168.3333,49.8,72,9,8.52
16,Vaini,TO,2022-05-16 00:04:41,-21.2,-175.2,73.94,68,56,14.79
17,Hermanus,ZA,2022-05-16 00:04:42,-34.4187,19.2345,58.8,66,0,9.53
18,Baculin,PH,2022-05-16 00:04:42,7.4525,126.5842,82.72,72,76,0.96
19,Airai,TL,2022-05-16 00:04:43,-8.9266,125.4092,66.58,75,22,2.13
20,San Ramon,US,2022-05-16 00:04:36,37.7799,-121.978,82.6,59,0,13.8
21,Khatanga,RU,2022-05-16 00:04:47,71.9667,102.5,32.41,99,100,2.08
22,Butaritari,KI,2022-05-16 00:04:48,3.0707,172.7902,81.64,75,12,10.45
23,Dingle,PH,2022-05-16 00:04:48,10.9995,122.6711,81.77,75,99,0.85
24,Albany,US,2022-05-16 00:00:54,42.6001,-73.9662,70.25,93,47,4.94
25,Hilo,US,2022-05-16 00:02:57,19.7297,-155.09,87.28,86,13,8.01
26,General Pico,AR,2022-05-16 00:04:49,-35.6566,-63.7568,43.65,51,0,8.23
27,Tuktoyaktuk,CA,2022-05-16 00:04:50,69.4541,-133.0374,36.66,88,94,7.67
28,Cape Town,ZA,2022-05-16 00:00:01,-33.9258,18.4232,61.12,70,0,5.99
29,Saint George,US,2022-05-16 00:02:41,37.1041,-113.5841,97.39,4,0,17.27
30,Ginir,ET,2022-05-16 00:04:51,7.1333,40.7,55.38,83,71,6.02
31,Demirci,TR,2022-05-16 00:04:52,39.0461,28.6589,54.97,69,3,3.94
32,Geraldton,AU,2022-05-16 00:04:53,-28.7667,114.6,54.01,82,0,10.36
33,Kapaa,US,2022-05-16 00:04:53,22.0752,-159.319,82.38,73,0,9.22
34,Cockburn Town,TC,2022-05-16 00:04:48,21.4612,-71.1419,78.96,82,97,19.37
35,Sawakin,SD,2022-05-16 00:04:54,19.1059,37.3321,86.72,39,0,5.7
36,Ushuaia,AR,2022-05-16 00:00:14,-54.8,-68.3,40.15,86,100,11.41
